economy;economycode;regionwb;pop_adult;wpid_random;wgt;female;age;educ;inc_q;emp_in;fin2;fin3;fin4;fin5;fin6;fin7;fin8;fin9;fin10;fin11a;fin11b;fin11c;fin11d;fin11e;fin11f;fin11g;fin11h;fin14a;fin14b;fin14c;fin15;fin16;fin17a;fin17b;fin19;fin20;fin21;fin22a;fin22b;fin22c;fin24;fin25;fin26;fin27a;fin27b;fin27c1;fin27c2;fin28;fin29a;fin29b;fin29c1;fin29c2;fin30;fin31a;fin31b;fin31c;fin32;fin33;fin34a;fin34b;fin34c1;fin34c2;fin35;fin36;fin37;fin38;fin39a;fin39b;fin39c1;fin39c2;fin40;fin41;fin42;fin43a;fin43b;fin43c1;fin43c2;fin44;fin45;fin46;fin47a;fin47b;fin47c1;fin47c2;fin47c3;fin47c4;fin47c5;mobileowner;fin48;account_fin;account_mob;account;saved;borrowed;receive_wages;receive_transfers;receive_pension;receive_agriculture;pay_utilities;remittances;pay_onlne;pay_onlne_mobintbuy;pay_cash;pay_cash_mobintbuy
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;200751511;2,094120852;2;48;2;1;0;2;;;;;2;;;;2;1;2;1;2;1;2;1;2;2;;2;2;2;2;2;2;2;2;2;;2;;2;;;;;2;;;;;2;;;;2;;;;;;;;2;2;;;;;;;2;;;;;;;2;;;;;;;;2;1;0;0;0;0;0;4;4;4;4;4;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;159104200;0,356762801;1;22;2;5;1;1;1;2;1;1;2;;1;1;;;;;;;;;1;1;2;1;1;1;1;1;2;2;1;1;2;1;1;1;1;2;;;2;;;;;1;2;1;;1;1;1;2;;;2;;1;2;1;2;;;;;1;2;1;;;2;;;;;;;;;;1;1;1;1;1;1;1;1;1;4;1;1;1;0;0;1;1
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;171588130;0,329489464;1;28;2;4;1;2;;;2;2;2;;1;2;;;;;;;;;2;2;;1;2;2;1;2;2;2;2;1;1;1;6;2;;;;;1;2;1;;;2;;;;2;;;;;;;;2;2;;;;;;;2;;;;;;;2;;;;;;;;1;1;1;0;1;1;1;4;4;4;4;4;2;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;170362506;0,537447064;1;35;2;1;1;2;;;;;2;;;;2;1;2;1;2;2;2;2;2;2;;1;2;2;2;2;2;2;2;2;;1;5;1;2;2;1;1;1;2;1;;;2;;;;2;;;;;;;;2;2;;;;;;;1;2;1;;;1;1;;;;;;;;;1;1;0;1;1;1;0;4;4;4;1;4;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;181190697;0,855768984;1;27;3;5;1;1;1;2;1;2;1;1;1;1;;;;;;;;;2;1;2;1;2;1;1;2;2;2;2;2;2;1;1;1;2;1;;;1;2;2;1;2;1;2;1;;1;2;2;2;1;2;;;2;2;;;;;;;2;;;;;;;;;;;;;;;1;1;1;1;1;1;1;2;4;4;4;1;1;0;0;1;1
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;158049195;1,506759566;2;34;2;2;1;1;1;2;1;1;2;;1;1;;;;;;;;;2;2;;2;2;2;1;1;2;1;1;1;1;2;;1;2;1;;;1;2;1;;;1;2;1;;1;2;2;2;1;2;;;2;2;;;;;;;1;2;1;;;2;;;;;;;;;;1;1;1;1;1;1;1;2;4;4;1;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;158159964;0,668447914;2;37;1;1;1;2;;;;;2;;;;2;2;2;2;2;1;2;1;1;2;;2;2;2;2;2;2;2;2;2;;2;;2;;;;;1;2;1;;;1;2;1;;2;;;;;;;;2;2;;;;;;;2;;;;;;;1;2;2;1;2;;;;1;1;0;1;1;0;0;4;4;4;4;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;122978016;1,711537967;1;33;2;5;1;2;;;;;2;;;;2;2;2;2;2;1;2;2;2;2;;2;2;2;2;2;2;2;2;2;;1;3;2;;;;;2;;;;;2;;;;1;2;2;2;1;2;;;2;2;;;;;;;2;;;;;;;;;;;;;;;1;1;0;0;0;0;0;2;4;4;4;4;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;121992008;0,329489464;2;18;2;5;0;2;;;;;2;;;;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;;2;;2;;;;;2;;;;;1;2;2;1;2;;;;;;;;2;2;;;;;;;2;;;;;;;2;;;;;;;;2;2;0;0;0;0;0;4;4;4;4;2;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;195081927;0,623109272;1;55;2;4;1;2;;;1;2;2;;1;1;;;;;;;;;2;2;;2;2;2;2;2;2;2;2;1;;2;;1;2;1;;;1;2;1;;;2;;;;1;2;1;1;;;2;;2;2;;;;;;;2;;;;;;;;;;;;;;;1;1;1;1;1;0;1;1;4;4;4;4;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;154183114;2,935385593;2;45;1;1;1;2;;;;;2;;;;2;1;2;2;2;1;2;2;2;2;;2;2;2;2;2;2;2;2;2;;2;;2;;;;;2;;;;;2;;;;2;;;;;;;;2;2;;;;;;;2;;;;;;;1;2;2;1;2;;;;1;1;0;1;1;0;0;4;4;4;4;4;5;0;;0;
